ScoreId,Week,AwayTeamName,HomeTeamName,HomeTeamScore,AwayTeamScore,TotalScore,HomeMoneyLine,AwayMoneyLine,HomePointSpread,AwayPointSpread,HomePointSpreadPayout,AwayPointSpreadPayout
16999,2,TB,CAR,13,19,33,-267,232,-6.3,6.0,-97,-105
17000,2,SF,CIN,16,39,56,-105,-97,-1.0,0.9,-97,-105
17001,2,LAC,DET,13,9,22,-99,-103,0.9,-1.0,-106,96
17002,2,MIN,GB,20,15,36,-154,139,-2.9,2.8,-100,-102
17003,2,IND,TEN,16,18,35,-159,142,-2.9,2.8,-105,-97
17004,2,NE,MIA,0,41,41,856,-1269,17.3,-17.3,-103,-99
17005,2,BUF,NYG,13,27,40,101,-111,0.9,-1.0,-96,-106
17006,2,SEA,PIT,25,27,52,-194,172,-3.8,3.7,-102,-100
17007,2,DAL,WAS,20,30,50,223,-256,5.6,-5.8,99,-109
17008,2,ARI,BAL,22,16,38,-639,494,-12.5,12.5,-96,-106
17009,2,JAX,HOU,13,12,24,-314,267,-7.2,6.9,110,-121
17010,2,KC,OAK,9,27,37,242,-282,6.5,-6.7,-114,103
17011,2,CHI,DEN,13,15,29,131,-144,2.8,-2.9,-107,97
17012,2,NO,LAR,26,8,35,-113,102,-1.9,1.9,99,-110
17013,2,PHI,ATL,23,19,42,-96,-106,0.9,-1.0,-103,-99
17014,2,CLE,NYJ,3,22,25,231,-267,6.0,-6.3,-101,-101
